file,equation_tex
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,\omega(r) = \omega_0 \cdot \frac{r}{r^2 + r_c^2} \label{eq:vorticity_profile}
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,v_\varphi(r) = \omega_0 \left( 1 - \frac{r_c}{r} \arctan\left( \frac{r}{r_c} \right) \right) \label{eq:velocity_arctan}
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,\Omega(r) = \Omega_0 \left( 1 - e^{-r/r_c} \right) \label{eq:omega_saturation}
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,\boxed{ v(r) = \frac{C_{\text{core}}}{\sqrt{1 + \left( \frac{r_c}{r} \right)^2}} + C_{\text{tail}} \left(1 - e^{-r/r_c} \right) } \label{eq:full_vam_profile}
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,"v_\varphi(r) &= \frac{1}{r} \int_0^r \omega_0 \cdot \frac{r'}{r'^2 + r_c^2} \cdot r' \, dr' \\ &= \frac{\omega_0}{r} \int_0^r \frac{r'^2}{r'^2 + r_c^2} \, dr'"
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,v_\text{tail}(r) &= r \cdot \Omega(r) \\ &= r \cdot \Omega_0 \left( 1 - e^{-r/r_c} \right) \\ &= C_{\text{tail}} \left( 1 - e^{-r/r_c} \right) \label{eq:tail_velocity}
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,a = \frac{\sqrt{a_N a_0}}{\mu(a/a_0)}
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,v(r) = \underbrace{ \frac{C_{\text{core}}}{\sqrt{1 + (r_c/r)^2}} }_{\text{core}} + \underbrace{ C_{\text{tail}} (1 - e^{-r/r_c}) }_{\text{tail}}
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,v(r) = \frac{C_{\text{core}}}{\sqrt{1 + (r_c/r)^2}} + C_{\text{tail}} (1 - e^{-r/r_c})
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,v(r) \sim C_{\text{core}} \cdot \frac{r}{r_c}
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,v(r) \sim \frac{C_{\text{core}}}{1}
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,C_{\text{core}} = \omega_0 r_c
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,\Omega_0
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,C_{\text{tail}} = \Omega_0 \cdot r
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,v(r) \approx C_{\text{tail}} \cdot \frac{r}{r_c}
