file,equation_tex,categories
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,\boxed{ v(r) = \frac{C_{\text{core}}}{\sqrt{1 + \left( \frac{r_c}{r} \right)^2}} + C_{\text{tail}} \left(1 - e^{-r/r_c} \right) } \label{eq:full_vam_profile},Planck relations
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,"\rho_{\text{\ae}}^{\text{(fluid)}} = \frac{2 m_e c^2}{\left( \alpha \cdot \frac{m_e c^2}{\hbar} \right)^2 \cdot \left( r_e^3 / 3 \right)} \approx 7 \times 10^{-7} \, \text{kg/m}^3",Alpha / fine-structure relations; Planck relations
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,|\vec{\omega}| = \alpha \cdot \omega_C = \alpha \cdot \frac{m_e c^2}{\hbar},Alpha / fine-structure relations; Planck relations
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,\rho_{\text{\ae}}^{\text{(fluid)}} = \frac{2 m_e c^2}{\left(\alpha \cdot \frac{m_e c^2}{\hbar}\right)^2 r_c^3},Alpha / fine-structure relations; Planck relations
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,"\rho_{\text{\ae}}^{\text{(fluid)}} = \frac{2 m_e c^2}{\left(\alpha \cdot \frac{m_e c^2}{\hbar}\right)^2 \cdot \left(\frac{r_e^3}{3}\right)} \approx 6.97 \times 10^{-7} \, \text{kg/m}^3",Alpha / fine-structure relations; Planck relations
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,"\rho_{\text{\ae}}^{\text{(fluid)}} \approx \frac{\rho_{\text{vacuum}}}{\alpha} \quad \Rightarrow \quad \rho_{\text{\ae}}^{\text{(fluid)}} \approx \frac{5 \times 10^{-9}}{1/137.036} \approx 6.85 \times 10^{-7} \, \text{kg/m}^3",Alpha / fine-structure relations; Planck relations
VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,\alpha,Alpha / fine-structure relations; Planck relations
VAM_8_MASTER_Paper/info.md,M = \frac{1}{\varphi} \cdot \frac{4}{\alpha} \cdot \left( \frac{1}{2} \rho_\text{\ae} C_e^2 V \right),Alpha / fine-structure relations; Planck relations
VAM_8_MASTER_Paper/info.md,"M(n, m, \{V_i\}) = \underbrace{\frac{4}{\alpha}}_{\text{amplifier}} \cdot \underbrace{\left( \frac{1}{m} \right)^{3/2}}_{\text{knot mass inverse}} \cdot \underbrace{\frac{1}{\varphi^s}}_{\text{coherence decay}} \cdot \underbrace{n^{-1/\varp",Alpha / fine-structure relations; Planck relations
VAM_8_MASTER_Paper/info.md,"M(n, m, \{V_i\}) = \underbrace{\frac{4}{\alpha}}_{\text{EM amplification}} \cdot \underbrace{\left( \frac{1}{m} \right)^{3/2}}_{\text{knot topology}} \cdot \underbrace{\varphi^{-s}}_{\text{coherence loss}} \cdot \underbrace{n^{-1/\varphi}}_",Alpha / fine-structure relations; Planck relations
VAM_8_MASTER_Paper/info.md,"M(n, m, \{V_i\}) = \frac{4}{\alpha} \cdot \left( \frac{1}{m} \right)^{3/2} \cdot \varphi^{-s} \cdot n^{-1/\varphi} \cdot \left( \sum_i V_i \right) \cdot \left( \frac{1}{2} \rho_\text{\ae}^{(\text{energy})} C_e^2 \right)",Alpha / fine-structure relations; Planck relations
VAM_8_MASTER_Paper/info.md,"based on **swirl helicity asymmetry** between the **mass-carrying** and **charge-carrying** components of the muon's internal vortex. --- ## 🔧 VAM Foundations We assume: - The **muon** is modeled as a **chiral torus knot**, likely",Planck relations
VAM_8_MASTER_Paper/info.md,This is **remarkably close** to the empirical anomaly,Planck relations
